#com.redshiftdev.Sync-Solver-Health-Export (2.3.31),,
asleep-start-date-time,asleep-end-date-time,minutes-asleep
2016-12-17T00:45:00-05:00,2016-12-17T01:23:00-05:00,38
2016-12-17T01:46:00-05:00,2016-12-17T02:30:00-05:00,44
2016-12-17T03:59:00-05:00,2016-12-17T04:51:00-05:00,52
2016-12-17T23:12:00-05:00,2016-12-17T23:39:00-05:00,27
2016-12-18T04:15:00-05:00,2016-12-18T05:10:00-05:00,55
2016-12-18T05:30:00-05:00,2016-12-18T05:45:00-05:00,15
2016-12-18T07:46:00-05:00,2016-12-18T08:14:00-05:00,28
2016-12-18T23:45:00-05:00,2016-12-19T00:46:00-05:00,61
2016-12-19T01:58:00-05:00,2016-12-19T03:14:00-05:00,76
2016-12-19T04:12:00-05:00,2016-12-19T04:45:00-05:00,33
2016-12-20T00:54:00-05:00,2016-12-20T01:49:00-05:00,55
2016-12-20T02:29:00-05:00,2016-12-20T03:29:00-05:00,60
2016-12-20T04:19:00-05:00,2016-12-20T05:14:00-05:00,55
2016-12-20T05:57:00-05:00,2016-12-20T06:30:00-05:00,33
2016-12-21T02:13:00-05:00,2016-12-21T03:00:00-05:00,47
2016-12-21T04:45:00-05:00,2016-12-21T05:17:00-05:00,32
2016-12-21T05:31:00-05:00,2016-12-21T06:02:00-05:00,31
2016-12-21T06:23:00-05:00,2016-12-21T07:29:00-05:00,66
2016-12-22T00:00:00-05:00,2016-12-22T00:12:00-05:00,12
2016-12-22T00:33:00-05:00,2016-12-22T01:29:00-05:00,56
2016-12-22T04:07:00-05:00,2016-12-22T04:32:00-05:00,25
2016-12-22T04:44:00-05:00,2016-12-22T06:27:00-05:00,103
2016-12-23T03:10:00-05:00,2016-12-23T04:00:00-05:00,50
2016-12-23T04:27:00-05:00,2016-12-23T04:59:00-05:00,32
2016-12-24T01:14:00-05:00,2016-12-24T02:14:00-05:00,60
2016-12-24T02:45:00-05:00,2016-12-24T04:00:00-05:00,75
2016-12-24T04:16:00-05:00,2016-12-24T04:50:00-05:00,34
2016-12-24T05:10:00-05:00,2016-12-24T06:07:00-05:00,57
2016-12-24T06:47:00-05:00,2016-12-24T07:58:00-05:00,71
2016-12-25T05:00:00-05:00,2016-12-25T05:59:00-05:00,59
2016-12-25T06:28:00-05:00,2016-12-25T06:45:00-05:00,17
2016-12-25T07:09:00-05:00,2016-12-25T07:48:00-05:00,39
2016-12-26T00:30:00-05:00,2016-12-26T01:32:00-05:00,62
2016-12-26T02:03:00-05:00,2016-12-26T02:28:00-05:00,25
2016-12-26T02:45:00-05:00,2016-12-26T04:31:00-05:00,106
2016-12-27T01:01:00-05:00,2016-12-27T02:02:00-05:00,61
2016-12-27T05:15:00-05:00,2016-12-27T06:14:00-05:00,59
2016-12-28T01:38:00-05:00,2016-12-28T02:29:00-05:00,51
2016-12-28T03:51:00-05:00,2016-12-28T04:11:00-05:00,20
2016-12-28T05:45:00-05:00,2016-12-28T06:27:00-05:00,42
2016-12-28T06:47:00-05:00,2016-12-28T07:16:00-05:00,29
2016-12-28T07:29:00-05:00,2016-12-28T07:59:00-05:00,30
2016-12-28T22:09:00-05:00,2016-12-28T22:34:00-05:00,25
2016-12-28T23:12:00-05:00,2016-12-29T00:17:00-05:00,65
2016-12-29T04:07:00-05:00,2016-12-29T04:28:00-05:00,21
2016-12-29T04:43:00-05:00,2016-12-29T05:02:00-05:00,19
2016-12-29T05:35:00-05:00,2016-12-29T05:47:00-05:00,12
2016-12-29T06:03:00-05:00,2016-12-29T06:18:00-05:00,15
2016-12-30T00:15:00-05:00,2016-12-30T00:44:00-05:00,29
2016-12-30T04:02:00-05:00,2016-12-30T05:06:00-05:00,64
2016-12-30T05:29:00-05:00,2016-12-30T06:00:00-05:00,31
2016-12-30T06:11:00-05:00,2016-12-30T07:02:00-05:00,51
2016-12-31T00:45:00-05:00,2016-12-31T01:11:00-05:00,26
2016-12-31T03:15:00-05:00,2016-12-31T04:21:00-05:00,66
2016-12-31T05:32:00-05:00,2016-12-31T05:48:00-05:00,16
2017-01-01T00:00:00-05:00,2017-01-01T07:15:00-05:00,435
2017-01-01T07:30:00-05:00,2017-01-01T08:45:00-05:00,75
2017-01-02T01:15:00-05:00,2017-01-02T01:55:00-05:00,40
2017-01-02T02:18:00-05:00,2017-01-02T02:35:00-05:00,17
2017-01-02T03:00:00-05:00,2017-01-02T03:01:00-05:00,1
2017-01-02T03:15:00-05:00,2017-01-02T03:53:00-05:00,38
2017-01-02T04:44:00-05:00,2017-01-02T05:01:00-05:00,17
2017-01-02T06:46:00-05:00,2017-01-02T07:45:00-05:00,59
2017-01-03T00:44:00-05:00,2017-01-03T01:00:00-05:00,16
2017-01-03T02:44:00-05:00,2017-01-03T03:01:00-05:00,17
2017-01-03T03:20:00-05:00,2017-01-03T04:22:00-05:00,62
2017-01-03T06:16:00-05:00,2017-01-03T06:39:00-05:00,23
2017-01-04T01:00:00-05:00,2017-01-04T01:14:00-05:00,14
2017-01-04T01:34:00-05:00,2017-01-04T01:59:00-05:00,25
2017-01-04T02:25:00-05:00,2017-01-04T03:19:00-05:00,54
2017-01-04T03:41:00-05:00,2017-01-04T04:59:00-05:00,78
2017-01-04T22:00:00-05:00,2017-01-05T05:45:00-05:00,465
2017-01-06T00:00:00-05:00,2017-01-06T03:30:00-05:00,210
2017-01-06T23:00:00-05:00,2017-01-07T00:14:00-05:00,74
2017-01-07T00:35:00-05:00,2017-01-07T01:01:00-05:00,26
2017-01-07T01:14:00-05:00,2017-01-07T03:14:00-05:00,120
2017-01-07T03:41:00-05:00,2017-01-07T04:22:00-05:00,41
2017-01-07T04:30:00-05:00,2017-01-07T04:56:00-05:00,26
2017-01-07T05:15:00-05:00,2017-01-07T06:00:00-05:00,45
2017-01-07T06:17:00-05:00,2017-01-07T06:50:00-05:00,33
