#com.redshiftdev.Sync-Solver-Health-Export (2.3.31),,
in-bed-start-date-time,in-bed-end-date-time,minutes-in-bed
2016-12-17T00:45:00-05:00,2016-12-17T04:51:00-05:00,246
2016-12-17T23:12:00-05:00,2016-12-18T08:14:00-05:00,542
2016-12-18T23:45:00-05:00,2016-12-19T04:45:00-05:00,300
2016-12-20T00:54:00-05:00,2016-12-20T06:30:00-05:00,336
2016-12-21T02:13:00-05:00,2016-12-21T07:29:00-05:00,316
2016-12-22T00:00:00-05:00,2016-12-22T06:27:00-05:00,387
2016-12-23T03:10:00-05:00,2016-12-23T04:59:00-05:00,109
2016-12-24T01:14:00-05:00,2016-12-24T07:58:00-05:00,404
2016-12-25T05:00:00-05:00,2016-12-25T07:48:00-05:00,168
2016-12-26T00:30:00-05:00,2016-12-26T04:31:00-05:00,241
2016-12-27T01:01:00-05:00,2016-12-27T06:14:00-05:00,313
2016-12-28T01:38:00-05:00,2016-12-28T07:59:00-05:00,381
2016-12-28T22:09:00-05:00,2016-12-29T06:18:00-05:00,489
2016-12-30T00:15:00-05:00,2016-12-30T07:02:00-05:00,407
2016-12-31T00:45:00-05:00,2016-12-31T05:48:00-05:00,303
2017-01-01T00:00:00-05:00,2017-01-01T08:45:00-05:00,525
2017-01-02T01:15:00-05:00,2017-01-02T07:45:00-05:00,390
2017-01-03T00:44:00-05:00,2017-01-03T06:39:00-05:00,355
2017-01-04T01:00:00-05:00,2017-01-04T04:59:00-05:00,239
2017-01-04T22:00:00-05:00,2017-01-05T08:00:00-05:00,600
2017-01-06T00:00:00-05:00,2017-01-06T05:30:00-05:00,330
2017-01-06T23:00:00-05:00,2017-01-07T06:50:00-05:00,470
2017-01-08T01:17:00-05:00,2017-01-08T07:28:00-05:00,371
2017-01-08T21:50:00-05:00,2017-01-09T06:48:00-05:00,538
2017-01-09T22:24:00-05:00,2017-01-10T05:02:00-05:00,398
2017-01-11T00:49:00-05:00,2017-01-11T05:28:00-05:00,279
2017-01-11T23:40:00-05:00,2017-01-12T07:45:00-05:00,485
2017-01-12T23:46:00-05:00,2017-01-13T04:05:00-05:00,259
2017-01-13T21:00:00-05:00,2017-01-14T05:45:00-05:00,525
2017-01-14T08:45:00-05:00,2017-01-14T09:15:00-05:00,30
2017-01-15T00:52:00-05:00,2017-01-15T07:14:00-05:00,382
2017-01-15T22:00:00-05:00,2017-01-16T07:14:00-05:00,554
2017-01-16T22:02:00-05:00,2017-01-17T07:44:00-05:00,582
2017-01-18T00:29:00-05:00,2017-01-18T07:26:00-05:00,417
2017-01-19T01:17:00-05:00,2017-01-19T06:28:00-05:00,311
2017-01-20T00:43:00-05:00,2017-01-20T07:50:00-05:00,427
2017-01-20T23:45:00-05:00,2017-01-21T07:14:00-05:00,449
2017-01-21T23:00:00-05:00,2017-01-22T07:13:00-05:00,493
2017-01-22T22:03:00-05:00,2017-01-23T06:59:00-05:00,536
2017-01-23T13:52:00-05:00,2017-01-23T14:50:00-05:00,58
2017-01-23T22:17:00-05:00,2017-01-24T06:57:00-05:00,520
2017-01-25T00:45:00-05:00,2017-01-25T07:34:00-05:00,409
2017-01-25T22:58:00-05:00,2017-01-26T07:29:00-05:00,511
2017-01-26T09:45:00-05:00,2017-01-26T12:00:00-05:00,135
2017-01-26T22:18:00-05:00,2017-01-27T05:11:00-05:00,413
2017-01-27T23:06:00-05:00,2017-01-28T06:04:00-05:00,418
2017-01-28T12:45:00-05:00,2017-01-28T14:44:00-05:00,119
2017-01-29T00:58:00-05:00,2017-01-29T08:21:00-05:00,443
2017-01-29T23:18:00-05:00,2017-01-30T05:38:00-05:00,380
2017-01-30T22:19:00-05:00,2017-01-31T01:58:00-05:00,219
2017-01-31T22:00:00-05:00,2017-02-01T00:11:00-05:00,131
2017-02-01T01:48:00-05:00,2017-02-01T03:13:00-05:00,85
2017-02-01T23:46:00-05:00,2017-02-02T03:00:00-05:00,194
2017-02-02T04:31:00-05:00,2017-02-02T04:45:00-05:00,14
2017-02-02T06:35:00-05:00,2017-02-02T06:45:00-05:00,10
2017-02-02T20:54:00-05:00,2017-02-02T21:06:00-05:00,12
2017-02-02T22:01:00-05:00,2017-02-03T07:59:00-05:00,598
2017-02-04T00:21:00-05:00,2017-02-04T07:59:00-05:00,458
2017-02-04T23:45:00-05:00,2017-02-05T07:51:00-05:00,486
2017-02-05T13:04:00-05:00,2017-02-05T14:29:00-05:00,85
2017-02-05T22:58:00-05:00,2017-02-06T04:40:00-05:00,342
2017-02-06T23:17:00-05:00,2017-02-07T07:30:00-05:00,493
2017-02-07T22:01:00-05:00,2017-02-08T06:30:00-05:00,509
2017-02-09T22:09:00-05:00,2017-02-10T05:20:00-05:00,431
2017-02-10T07:02:00-05:00,2017-02-10T08:01:00-05:00,59
2017-02-10T10:15:00-05:00,2017-02-10T10:33:00-05:00,18
2017-02-10T22:48:00-05:00,2017-02-11T07:30:00-05:00,522
2017-02-11T09:35:00-05:00,2017-02-11T10:30:00-05:00,55
2017-02-12T00:12:00-05:00,2017-02-12T08:30:00-05:00,498
2017-02-13T01:00:00-05:00,2017-02-13T07:15:00-05:00,375
2017-02-13T23:37:00-05:00,2017-02-14T07:04:00-05:00,447
2017-02-14T22:11:00-05:00,2017-02-15T06:00:00-05:00,469
2017-02-15T22:30:00-05:00,2017-02-16T06:45:00-05:00,495
2017-02-16T23:15:00-05:00,2017-02-17T07:14:00-05:00,479
2017-02-17T23:16:00-05:00,2017-02-18T09:42:00-05:00,626
2017-02-18T23:37:00-05:00,2017-02-19T07:05:00-05:00,448
2017-02-19T12:57:00-05:00,2017-02-19T13:44:00-05:00,47
2017-02-19T22:15:00-05:00,2017-02-20T08:59:00-05:00,644
2017-02-20T11:30:00-05:00,2017-02-20T11:46:00-05:00,16
2017-02-20T13:30:00-05:00,2017-02-20T15:08:00-05:00,98
2017-02-21T11:08:00-05:00,2017-02-21T13:00:00-05:00,112
2017-02-21T22:17:00-05:00,2017-02-22T06:23:00-05:00,486
2017-02-22T23:46:00-05:00,2017-02-23T07:18:00-05:00,452
2017-02-23T22:49:00-05:00,2017-02-24T07:00:00-05:00,491
2017-02-24T22:00:00-05:00,2017-02-25T05:30:00-05:00,450
2017-02-25T11:00:00-05:00,2017-02-25T11:30:00-05:00,30
2017-02-25T23:37:00-05:00,2017-02-26T09:29:00-05:00,592
2017-02-26T22:00:00-05:00,2017-02-27T07:31:00-05:00,571
2017-02-27T22:00:00-05:00,2017-02-28T07:25:00-05:00,565
2017-02-28T22:19:00-05:00,2017-03-01T07:29:00-05:00,550
2017-03-01T22:47:00-05:00,2017-03-02T06:00:00-05:00,433
2017-03-02T23:02:00-05:00,2017-03-03T08:14:00-05:00,552
2017-03-04T00:20:00-05:00,2017-03-04T09:42:00-05:00,562
2017-03-05T01:50:00-05:00,2017-03-05T12:32:00-05:00,642
2017-03-05T16:20:00-05:00,2017-03-05T16:47:00-05:00,27
2017-03-05T22:45:00-05:00,2017-03-06T01:29:00-05:00,164
2017-03-06T03:46:00-05:00,2017-03-06T04:33:00-05:00,47
2017-03-06T12:29:00-05:00,2017-03-06T14:29:00-05:00,120
2017-03-06T22:00:00-05:00,2017-03-07T07:41:00-05:00,581
2017-03-08T02:15:00-05:00,2017-03-08T07:45:00-05:00,330
2017-03-08T12:16:00-05:00,2017-03-08T13:04:00-05:00,48
2017-03-08T22:30:00-05:00,2017-03-09T06:58:00-05:00,508
2017-03-10T00:31:00-05:00,2017-03-10T07:14:00-05:00,403
2017-03-10T11:24:00-05:00,2017-03-10T12:13:00-05:00,49
2017-03-10T23:47:00-05:00,2017-03-11T09:44:00-05:00,597
2017-03-11T23:30:00-05:00,2017-03-12T03:02:00-04:00,152
2017-03-12T04:43:00-04:00,2017-03-12T09:00:00-04:00,257
2017-03-12T23:44:00-04:00,2017-03-13T07:45:00-04:00,481
2017-03-14T00:07:00-04:00,2017-03-14T07:01:00-04:00,414
2017-03-14T09:28:00-04:00,2017-03-14T09:29:00-04:00,1
2017-03-14T14:53:00-04:00,2017-03-14T15:41:00-04:00,48
2017-03-15T01:11:00-04:00,2017-03-15T09:30:00-04:00,499
2017-03-15T14:17:00-04:00,2017-03-15T14:48:00-04:00,31
2017-03-16T00:45:00-04:00,2017-03-16T07:59:00-04:00,434
2017-03-17T02:35:00-04:00,2017-03-17T04:30:00-04:00,115
2017-03-17T06:31:00-04:00,2017-03-17T07:48:00-04:00,77
2017-03-18T00:50:00-04:00,2017-03-18T11:14:00-04:00,624
2017-03-19T00:19:00-04:00,2017-03-19T07:43:00-04:00,444
2017-03-19T23:32:00-04:00,2017-03-20T09:52:00-04:00,620
