uuid,created_at,created_longitude,created_latitude,modified_at,modified_longitude,modified_latitude,accessed_at,content,tags,folder,flagged,languageGrammar
DC46DB9D-811B-4219-B656-BD23062281EE,2019-02-06T15:28:42Z,0,0,2019-02-06T15:28:42Z,0,0,2019-02-06T20:24:51Z,"Elliptical
Date: Feb 6, 2019 at 10:27 AM

Level: 15
Time: 50 Minutes
Calories: 682
Distance: 4.75 Miles
Distance Climbed: 7980
Speed: 5.71 mph
Pace: 10:30 min/mile
Elliptical HR: 142 bpm
Runkeeper HR: 143 bpm
AppleWatch HR: 141 bpm

Notes:
Slow and a struggle, especially with cardio/energy. Neuropathy and leg pain mostly in check. 
- Creatine 
- ShroomTech ",,1,FALSE,Markdown
923B0DB8-526E-4C49-A722-39EF839BAEE3,2019-02-05T19:55:35Z,0,0,2019-02-05T19:55:42Z,-86.17373455,39.87899657,2019-02-06T18:43:38Z,"Elliptical
Date: Feb 5, 2019 at 2:54 PM

Level: 15
Time: 15 Minutes
Calories: 196
Distance: 1.35 Miles
Distance Climbed: 2245
Speed: 5.44 mph
Pace: 11:1 min/mile
Elliptical HR: 132 bpm
Runkeeper HR: NaN bpm
AppleWatch HR: 131 bpm

Notes:
Warm-up. Slow but otherwise fine. ",,1,FALSE,Markdown
1BAADCEB-A825-48B1-8477-E30D924FFEBF,2019-02-03T20:16:21Z,0,0,2019-02-03T20:16:21Z,0,0,2019-02-05T19:55:35Z,"Elliptical
Date: Feb 3, 2019 at 3:15 PM

Level: 15
Time: 15 Minutes
Calories: 196
Distance: 1.36 Miles
Distance Climbed: 2244
Speed: 5.46 mph
Pace: 10:58 min/mile
Elliptical HR: 130 bpm
Runkeeper HR: 128 bpm
AppleWatch HR: 130 bpm

Notes:
Warm-up. Slow but strong. Moderate neuropathy in both feet. ",,1,FALSE,Markdown
652783D5-7862-42FB-BD2C-1B6F038CC374,2019-01-29T18:30:38Z,0,0,2019-01-29T18:30:38Z,0,0,2019-02-03T20:16:21Z,"Elliptical
Date: Jan 29, 2019 at 1:28 PM

Level: 15
Time: 50 Minutes
Calories: 680
Distance: 4.53 Miles
Distance Climbed: 7909
Speed: 5.44 mph
Pace: 11:0 min/mile
Elliptical HR: 141 bpm
Runkeeper HR: 139 bpm
AppleWatch HR: 143 bpm

Notes:
Raised level to 15 and increased time to 50 minutes. A good workout despite being slow. Good mental conditioning. Moderate neuropathy in both feet. Started Apple watch five minutes late, likely explaining low HR. 
- Creatine 
- Glutamine 
- ShroomTech ",,1,FALSE,Markdown
A7801D16-7504-4AB7-ABFB-174D2A535283,2019-01-28T19:03:13Z,0,0,2019-01-28T19:03:13Z,0,0,2019-01-29T06:45:50Z,"Elliptical
Date: Jan 28, 2019 at 2:02 PM

Level: 15
Time: 15 Minutes
Calories: 198
Distance: 1.43 Miles
Distance Climbed: 2268
Speed: 5.73 mph
Pace: 10:27 min/mile
Elliptical HR: 146 bpm
Runkeeper HR: 144 bpm
AppleWatch HR: 145 bpm

Notes:
Warm up. Raised level to 15. Otherwise unremarkable. ",,1,FALSE,Markdown
E7185100-3B81-4E79-9A6B-1F7FCAF8A3BC,2019-01-25T20:10:25Z,0,0,2019-01-25T20:10:25Z,0,0,2019-01-28T06:39:42Z,"Elliptical
Date: Jan 25, 2019 at 3:09 PM

Level: 14
Time: 35 Minutes
Calories: 446
Distance: 3.49 Miles
Distance Climbed: 4995
Speed: 6 mph
Pace: 9:59 min/mile
Elliptical HR: 145 bpm
Runkeeper HR: 146 bpm
AppleWatch HR: 145 bpm

Notes:
Left knee feeling rough. Too much time off. Still pushed through. 
- Creatine 
- Glutamine 
- ShroomTech ",,1,FALSE,Markdown
20BF152A-60D7-4721-9404-B24747251A21,2019-01-24T14:58:58Z,0,0,2019-01-24T14:58:58Z,0,0,2019-01-25T20:10:25Z,"Elliptical
Date: Jan 24, 2019 at 9:57 AM

Level: 14
Time: 15 Minutes
Calories: 188
Distance: 1.41 Miles
Distance Climbed: 2076
Speed: 5.65 mph
Pace: 10:36 min/mile
Elliptical HR: NaN bpm
Runkeeper HR: 125 bpm
AppleWatch HR: 126 bpm

Notes:
Warm-up. Slow. Left hip flexor, knee, and calf pain. ",,1,FALSE,Markdown
28812DA3-3492-4346-8AC0-42840D1B3B02,2019-01-11T19:47:56Z,-86.17373049,39.87915009,2019-01-11T19:47:56Z,-86.17373049,39.87915009,2019-01-23T21:33:33Z,"Elliptical
Date: Jan 11, 2019 at 2:47 PM

Level: 14
Time: 15 Minutes
Calories: 188
Distance: 1.51 Miles
Distance Climbed: 2093
Speed: 6.08 mph
Pace: 9:51 min/mile
Elliptical HR: 138 bpm
Runkeeper HR: 136 bpm
AppleWatch HR: 138 bpm

Notes:
Cool down. Slow and steady. Still feeling good. ",,1,FALSE,Markdown
7AA546AE-B8E0-4841-82E4-5C20234FA3A2,2019-01-11T18:46:23Z,0,0,2019-01-11T18:46:23Z,0,0,2019-01-11T18:46:23Z,"Elliptical
Date: Jan 11, 2019 at 1:45 PM

Level: 14
Time: 15 Minutes
Calories: 189
Distance: 1.68 Miles
Distance Climbed: 2102
Speed: 6.76 mph
Pace: 8:52 min/mile
Elliptical HR: 135 bpm
Runkeeper HR: 135 bpm
AppleWatch HR: 136 bpm

Notes:
Warm up. Kept the pace moderate but felt good. 
- Creatine 
- Glutamine 
- ShroomTech ",,1,FALSE,Markdown
2D4D2552-E046-48CE-8B56-5A27C991D462,2019-01-10T15:13:39Z,0,0,2019-01-10T15:13:39Z,0,0,2019-01-11T18:10:11Z,"Elliptical
Date: Jan 10, 2019 at 10:11 AM

Level: 14
Time: 35 Minutes
Calories: 450
Distance: 4.21 Miles
Distance Climbed: 5101
Speed: 7.23 mph
Pace: 8:17 min/mile
Elliptical HR: 148 bpm
Runkeeper HR: 148 bpm
AppleWatch HR: 150 bpm

Notes:
Really pushed the pace. Cardio felt stressed. High heart rate. Came in with a sore left IT band, but it didn’t affect things. 
- Creatine 
- Glutamine 
- ShroomTech ",,1,FALSE,Markdown
F661E658-9123-4CA3-A909-B3E48678C17A,2019-01-09T19:38:48Z,0,0,2019-01-09T19:38:48Z,0,0,2019-01-10T02:58:26Z,"Elliptical
Date: Jan 9, 2019 at 2:37 PM

Level: 14
Time: 15 Minutes
Calories: 189
Distance: 1.7 Miles
Distance Climbed: 2104
Speed: 6.82 mph
Pace: 8:47 min/mile
Elliptical HR: 141 bpm
Runkeeper HR: 139 bpm
AppleWatch HR: 141 bpm

Notes:
Warm up. Good pace. Almost no pain. ",,1,FALSE,Markdown
C553E0F0-9F02-459D-83BE-0316644F29A9,2019-01-08T15:16:19Z,0,0,2019-01-08T15:16:19Z,0,0,2019-01-09T19:17:43Z,"Elliptical
Date: Jan 8, 2019 at 10:13 AM

Level: 14
Time: 35 Minutes
Calories: 448
Distance: 3.68 Miles
Distance Climbed: 5020
Speed: 6.31 mph
Pace: 9:30 min/mile
Elliptical HR: 138 bpm
Runkeeper HR: 137 bpm
AppleWatch HR: 139 bpm

Notes:
Felt good. Pushed the pace only slightly. Knee gave out at first reverse segment (10 minutes), but focused on form and it went away. 
- Glutamine 
- Creatine 
- Run the Jewels
- The Obstacle is the Way",,1,FALSE,Markdown
